embody_agg,adv_agg,creat_agg,embed_agg,authentic,pred_comp,identify,r_effect
5.983173076923077,6.199519230769231,5.930288461538462,5.871794871794871,6.259615384615385,6.490384615384615,4.846153846153846,6.519230769230769
4.094059405940594,3.821782178217822,4.044554455445544,3.432343234323432,4.910891089108911,3.267326732673267,3.059405940594059,2.356435643564356
4.735294117647059,4.487745098039215,4.301470588235294,4.098039215686275,5.872549019607843,4.941176470588236,4.088235294117647,3.794117647058823
4.822429906542056,5.158878504672897,4.703271028037383,4.797507788161993,4.953271028037383,5.261682242990654,3.94392523364486,4.878504672897196
4.298076923076923,4.598557692307693,4.387019230769231,4.208333333333333,4.971153846153846,4.673076923076923,3.134615384615385,3.913461538461538
5.514285714285714,5.652380952380953,5.276190476190476,5.37142857142857,5.390476190476191,5.638095238095238,4.371428571428571,5.6
4.185096153846154,4.694711538461538,4.225961538461538,3.365384615384614,3.884615384615385,4.490384615384615,3.105769230769231,3.384615384615385
3.745049504950495,3.670792079207921,3.680693069306931,3.184818481848184,4.346534653465347,3.405940594059406,2.673267326732673,2.396039603960396
5.617647058823529,5.901960784313726,5.674019607843137,5.549019607843135,6.029411764705882,5.950980392156863,4.15686274509804,5.862745098039215
4.607142857142857,4.973809523809524,4.84047619047619,4.857142857142857,4.485714285714286,5.142857142857143,3.371428571428571,5.133333333333334
2.394230769230769,2.40625,2.586538461538462,2.253205128205128,2.836538461538462,2.105769230769231,1.673076923076923,1.634615384615385
5,4.904205607476635,4.764018691588785,5.138629283489095,5.672897196261682,5.700934579439252,3.934579439252337,4.485981308411215
4.407142857142857,4.230952380952381,4.478571428571429,3.980952380952379,5.2,4.057142857142857,3.561904761904762,3.123809523809524
3.956730769230769,3.889423076923077,3.834134615384615,3.493589743589743,4.413461538461538,3.615384615384615,2.75,2.509615384615385
3.395238095238095,3.016666666666667,3.257142857142857,2.866666666666667,3.733333333333333,2.447619047619048,2.361904761904762,1.780952380952381
4.436320754716981,4.16745283018868,4.181603773584905,3.616352201257862,4.830188679245283,4.037735849056604,3.273584905660377,2.933962264150944
2.900943396226415,2.443396226415094,3.045238095238095,2.244444444444444,3.122641509433962,2.188679245283019,2.171428571428571,1.5
4.004807692307693,3.432692307692307,4.144230769230769,3.314102564102565,4.384615384615385,2.673076923076923,3.230769230769231,2.096153846153846
2.483333333333333,2.347619047619048,2.428571428571428,2.082539682539683,3.571428571428572,2.009523809523809,1.790476190476191,1.476190476190476
2.97029702970297,2.851485148514851,2.905940594059406,2.722772277227722,4.128712871287129,4.138613861386139,2.227722772277228,2.227722772277228
4.583333333333333,4.544117647058823,4.732843137254902,3.993464052287582,5.205882352941177,4.166666666666667,3.598039215686275,2.882352941176471
4.97877358490566,4.688679245283019,4.747641509433962,4.078616352201257,5.481132075471698,4.556603773584905,3.811320754716981,3.60377358490566
2.722772277227723,2.878712871287129,2.633663366336634,2.524752475247525,2.920792079207921,2.336633663366336,2.03960396039604,2.257425742574257
4.487980769230769,4.055288461538462,4.399038461538462,3.67948717948718,5.038461538461538,3.788461538461538,3.221153846153846,2.875
4.692307692307693,4.669902912621359,4.911057692307693,4.391025641025641,5.557692307692307,4.576923076923077,3.778846153846154,3.317307692307693
4.392523364485982,4.226635514018692,4.586448598130841,3.959501557632398,5.121495327102804,3.411214953271028,2.794392523364486,2.439252336448598
2.252403846153846,2.180288461538462,2.622596153846154,1.974358974358974,3.326923076923077,2.048076923076923,1.942307692307692,1.548076923076923
4.49009900990099,4.158415841584159,4.47029702970297,3.6996699669967,5.198019801980198,3.98019801980198,3.00990099009901,2.841584158415841
3.070388349514563,2.526699029126214,2.905339805825243,2.26537216828479,3.689320388349515,2.281553398058252,2.16504854368932,1.611650485436893
4.381313131313131,4.136363636363637,4.255050505050505,3.845117845117846,4.929292929292929,4.181818181818182,3.151515151515151,3.474747474747475
4.125,3.78921568627451,4.245098039215686,3.941176470588235,5.029411764705882,4.274509803921569,3.225490196078431,2.588235294117647
4.178571428571429,4.468253968253968,4.15,4.025396825396825,4.4,3.847619047619048,2.809523809523809,3.723809523809524
4.727941176470588,4.431372549019608,4.573529411764706,4.058823529411764,5.205882352941177,4.392156862745098,3.696078431372549,3.490196078431373
4.264285714285714,4.84047619047619,4.426190476190476,4.463492063492065,4.057142857142857,4.933333333333334,3.60952380952381,4.780952380952381
3.841346153846154,3.944711538461538,3.887019230769231,3.461538461538462,3.971153846153846,3.048076923076923,2.163461538461538,2.009615384615385
4.173076923076923,4.115384615384615,4.257211538461538,3.721153846153845,4.798076923076923,3.865384615384615,3,2.798076923076923
4.254761904761905,4.216666666666667,4.509523809523809,3.92063492063492,4.647619047619048,3.742857142857143,3.304761904761905,2.552380952380952
5.547029702970297,6.012376237623762,5.831683168316832,5.696369636963698,5.683168316831683,6.128712871287129,4.237623762376238,6.188118811881188
3.735576923076923,3.581730769230769,3.492788461538462,3.19551282051282,4.115384615384615,3.153846153846154,2.576923076923077,2.461538461538462
4.428571428571429,4.55,4.207142857142857,3.742857142857142,4.628571428571429,4.538461538461538,3.028571428571428,3.504761904761905
3.872641509433962,3.580188679245283,3.931603773584906,3.39308176100629,4.688679245283019,3.537735849056604,2.69811320754717,2.349056603773585
4.192857142857143,4.207142857142857,4.128571428571429,3.78095238095238,4.752380952380952,4.085714285714285,3.228571428571429,3.190476190476191
3.638095238095238,3.504761904761905,3.670673076923077,3.243589743589742,4.932692307692307,3.942307692307693,3.211538461538462,2.653846153846154
4.28921568627451,3.83578431372549,4.473039215686274,4.643790849673202,4.598039215686274,4.96078431372549,3.127450980392157,3.166666666666667
6.002450980392157,6.183823529411764,6.056372549019608,5.934640522875816,6.313725490196078,6.509803921568627,4.686274509803922,5.745098039215686
4.485714285714286,4.311904761904762,4.316666666666666,3.838095238095239,4.923809523809524,4.104761904761904,3.4,3.228571428571429
3.784722222222222,3.64429012345679,4.099537037037037,3.731481481481481,4.425925925925926,2.814814814814815,2.324074074074074,1.888888888888889
4.495192307692307,4.230769230769231,4.278846153846154,3.919871794871794,5.403846153846154,4.019230769230769,3.326923076923077,2.846153846153846
4.851941747572815,4.531553398058253,4.679611650485437,4.233009708737864,5.495145631067961,4.747572815533981,3.330097087378641,2.844660194174757
4.55,4.7425,4.52,3.863333333333334,4.96,3.99,3.14,2.5
5.313131313131313,5.421717171717172,5.204545454545454,5.161616161616162,5.474747474747475,5.282828282828283,4.484848484848484,4.94949494949495
3.817961165048544,3.546116504854369,4.101941747572815,3.640776699029127,3.45631067961165,2.601941747572816,2.359223300970874,1.796116504854369
3.497663551401869,3.514018691588785,3.33411214953271,3.174454828660436,3.476635514018692,3.327102803738318,2.383177570093458,2.869158878504673
5.176190476190476,4.921428571428572,5.069047619047619,4.330158730158729,5.828571428571428,5,4.142857142857143,4.028571428571428
4.893867924528302,4.58254716981132,4.622641509433962,3.959119496855346,5.886792452830188,4.622641509433962,3.349056603773585,3.150943396226415
5.625,5.691176470588236,5.348039215686274,4.683006535947712,5.921568627450981,5.46078431372549,3.872549019607843,4.264705882352941
4.12378640776699,3.859223300970874,3.881067961165049,3.417475728155341,4.650485436893204,3.563106796116505,2.87378640776699,2.611650485436893
4.970873786407767,4.881067961165049,5.043689320388349,4.724919093851132,5.310679611650485,5.067961165048544,3.475728155339806,3.970873786407767
3.440594059405941,3.438118811881188,3.418316831683168,3.254125412541254,3.297029702970297,3.346534653465346,2.168316831683168,2.97029702970297
4.12962962962963,3.902777777777778,4.087962962962963,3.453703703703703,4.814814814814815,3.712962962962963,3.222222222222222,2.740740740740741
4.944711538461538,4.555288461538462,4.925480769230769,4.408653846153845,5.673076923076923,4.355769230769231,4.605769230769231,3.375
4.868811881188119,5.23019801980198,4.977722772277228,4.745874587458745,5.227722772277228,5.178217821782178,3.455445544554455,4.861386138613861
4.536764705882353,4.394607843137255,4.53186274509804,3.954248366013071,5.470588235294118,4.441176470588236,3.656862745098039,3.401960784313725
4.322115384615385,4.108173076923077,4.1875,3.564102564102564,5.067307692307693,3.942307692307693,3.432692307692307,2.865384615384615
2.895238095238095,2.764285714285714,3.052380952380952,2.514285714285714,3.295238095238095,1.923809523809524,2.247619047619048,1.561904761904762
5.169811320754717,4.893867924528302,4.764150943396227,3.965408805031449,5.69811320754717,4.60377358490566,3.650943396226415,3.037735849056604
3.923809523809524,3.702380952380953,4.126190476190477,3.622222222222224,5.390476190476191,3.533333333333333,3.171428571428571,2.457142857142857
4.28125,4.875,4.396634615384615,3.471153846153847,4.134615384615385,3.903846153846154,2.961538461538462,2.942307692307693
4.745192307692307,4.069711538461538,4.526442307692307,4.451923076923077,5.115384615384615,5.634615384615385,3.182692307692307,3.673076923076923
4.620283018867925,4.384433962264151,4.733490566037736,4.336477987421382,5.141509433962264,4.80188679245283,3.330188679245283,3.349056603773585
4.754761904761905,4.483333333333333,4.702380952380953,4.180952380952381,5.561904761904762,4.285714285714286,3.352380952380952,3.076190476190476
4.797169811320755,5.39622641509434,4.813679245283019,3.864779874213837,4.330188679245283,4.839622641509434,3.018867924528302,3.773584905660377
4.230952380952381,4.207142857142857,4.161904761904762,3.542857142857142,4.8,3.942857142857143,2.971428571428572,3.047619047619047
3.630841121495327,3.544392523364486,3.848130841121495,3.498442367601247,3.869158878504673,2.88785046728972,2.336448598130841,1.831775700934579
5.581730769230769,5.954326923076923,5.603365384615385,5.631410256410254,5.971153846153846,6,4.019230769230769,5.971153846153846
5.436893203883495,5.830097087378641,5.439320388349515,5.666666666666666,5.87378640776699,6.145631067961165,3.844660194174757,6.077669902912621
5.099514563106796,4.805825242718447,4.861650485436893,4.190938511326861,5.650485436893204,4.70873786407767,4.145631067961165,4.009708737864078
4.081683168316832,3.777227722772277,4.054455445544554,3.597359735973598,5.00990099009901,3.336633663366336,3.148514851485149,2.346534653465346
4.774271844660194,4.444174757281553,4.628640776699029,3.970873786407767,5.466019417475728,4.388349514563107,3.660194174757282,3.252427184466019
4.517156862745098,5.090686274509804,4.629901960784314,3.676470588235294,4.294117647058823,4.696078431372549,3.323529411764706,3.637254901960784
